CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
50067332,LAKAY VENUS RESTAURANT,BROOKLYN,637,ROGERS AVE,11226,7182874949,Caribbean,05/19/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,66,,,06/18/2018,Cycle Inspection / Initial Inspection
50058195,LIANJIANG RESTAURANT,MANHATTAN,88,DIVISION ST,10002,2122263088,Chinese,01/25/2018,Establishment re-opened by DOHMH,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,Z,01/25/2018,06/18/2018,Cycle Inspection / Reopening Inspection
40578058,PHO BAC VIETNAMESE SEAFOOD CUISINE,QUEENS,8278,BROADWAY,11373,7186390000,Vietnamese/Cambodian/Malaysia,06/29/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,22,,,06/18/2018,Cycle Inspection / Initial Inspection
40686696,CHRISTIE'S,MANHATTAN,20,ROCKEFELLER PLAZA,10020,2126362278,American,04/15/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,04/15/2016,06/18/2018,Cycle Inspection / Initial Inspection
41173179,LA RONDINE PIZZA,QUEENS,12038,QUEENS BOULEVARD,11415,7187932556,Pizza/Italian,09/09/2016,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,42,,,06/18/2018,Cycle Inspection / Initial Inspection
50002557,SOMM TIME A WINE BAR,MANHATTAN,959,2ND AVE,10022,2128887404,American,03/25/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,,,06/18/2018,Cycle Inspection / Initial Inspection
50058445,JAMBA JUICE,MANHATTAN,,AMTRAK LEVEL,10001,2126952602,"Juice, Smoothies, Fruit Salads",03/12/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,03/12/2018,06/18/2018,Cycle Inspection / Re-inspection
41609832,ISLAND BURGERS & SHAKES,MANHATTAN,422,AMSTERDAM AVENUE,10024,2128777934,Hamburgers,04/18/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,04/18/2018,06/18/2018,Cycle Inspection / Re-inspection
40831148,STARBUCKS,QUEENS,2202,31 STREET,11105,7186266004,Caf?©/Coffee/Tea,03/15/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,03/15/2018,06/18/2018,Cycle Inspection / Initial Inspection
41321677,THAI GRILL & SUSHI BAR,MANHATTAN,137,EAST   45 STREET,10017,2125818808,Thai,03/17/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24,,,06/18/2018,Cycle Inspection / Initial Inspection
50045270,CROWN FRIED CHICKEN AND PIZZA,BROOKLYN,228,ALBANY AVE,11213,3476576641,Other,04/13/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41?º F (smoked fish and reduced oxygen packaged foods above 38 ?ºF) except during necessary preparation.,Critical,14,,,06/18/2018,Cycle Inspection / Initial Inspection
41302020,PAMPAS ARGENTINAS,QUEENS,10507,METROPOLITAN AVENUE,11375,7182689606,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/15/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,10/15/2014,06/18/2018,Cycle Inspection / Initial Inspection
40515124,RENEE'S KITCHENETTE,QUEENS,6914,ROOSEVELT AVENUE,11377,7184769002,Filipino,01/29/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,11,A,01/29/2018,06/18/2018,Cycle Inspection / Initial Inspection
50014038,MI MEXICO LINDO,BRONX,587,SOUTHERN BLVD,10455,3472717830,Mexican,08/12/2015,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140?º F to 70?º F or less within 2 hours, and from 70?º F to 41?º F or less within 4 additional hours.",Critical,31,,,06/18/2018,Cycle Inspection / Initial Inspection
41593344,ZHU JI GUO TIE,QUEENS,4052,MAIN STREET,11354,7183536265,Chinese,04/03/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,37,,,06/18/2018,Cycle Inspection / Initial Inspection
41678553,JESSIE'S EXPRESS CAFE,MANHATTAN,411,8 AVENUE,10001,2122551266,Sandwiches/Salads/Mixed Buffet,12/16/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,,,06/18/2018,Cycle Inspection / Initial Inspection
50036864,PRESTO FRESH CAFE,MANHATTAN,559,LENOX AVE,10037,3476849436,Spanish,09/24/2015,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,27,,,06/18/2018,Cycle Inspection / Initial Inspection
41704391,NEW MANDARIN COURT,MANHATTAN,61,MOTT STREET,10013,2126083838,Chinese,09/15/2017,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,30,C,09/15/2017,06/18/2018,Cycle Inspection / Re-inspection
50047320,LENWICH,MANHATTAN,16,W 23RD ST,10010,2124624433,Sandwiches/Salads/Mixed Buffet,01/03/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140?º F.,Critical,19,,,06/18/2018,Cycle Inspection / Initial Inspection
50001789,RESTAURANTE & PANADERIA GUATELINDA,QUEENS,170-18,JAMAICA AVE,11432,2124706169,Spanish,08/26/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,28,C,08/26/2016,06/18/2018,Cycle Inspection / Re-inspection
50002403,LA BELLEZZA PIZZERIA,MANHATTAN,315,BROADWAY,10007,2122273337,Pizza,12/09/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,17,B,12/09/2016,06/18/2018,Cycle Inspection / Re-inspection
50053686,ONE BEDFORD BAR & BISTRO,BROOKLYN,627,MANHATTAN AVE,11222,5166505595,American,03/01/2018,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,10,A,03/01/2018,06/18/2018,Cycle Inspection / Re-inspection
50070789,FAY DA BAKERY,QUEENS,7508,BROADWAY,11373,7188061708,Bakery,11/22/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140?º F.,Critical,10,A,11/22/2017,06/18/2018,Cycle Inspection / Initial Inspection
41416561,VANESSA'S DUMPLING,MANHATTAN,220,EAST   14 STREET,10003,2125291329,Chinese,08/06/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41?º F (smoked fish and reduced oxygen packaged foods above 38 ?ºF) except during necessary preparation.,Critical,44,,,06/18/2018,Cycle Inspection / Initial Inspection
41264160,TRUE TASTE RESTAURANT,BROOKLYN,553,THROOP AVENUE,11216,7184535205,Chinese,03/26/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,03/26/2015,06/18/2018,Cycle Inspection / Re-inspection
50015118,SUN IN BLOOM,MANHATTAN,165,CHURCH ST,10007,2127916700,Vegetarian,01/29/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,01/29/2016,06/18/2018,Cycle Inspection / Initial Inspection
41547298,FRAUNCES TAVERN,MANHATTAN,54,PEARL STREET,10004,2129681776,American,06/07/2017,Establishment re-closed by DOHMH,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,25,,,06/18/2018,Cycle Inspection / Reopening Inspection
41055930,GOLDING CAFE (NEW YORK UNIVERSITY LAW SCHOOL - VANDERBILT HALL),MANHATTAN,40,WASHINGTON SQUARE SOUTH,10012,2129986517,American,01/26/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41?º F (smoked fish and reduced oxygen packaged foods above 38 ?ºF) except during necessary preparation.,Critical,7,A,01/26/2018,06/18/2018,Cycle Inspection / Re-inspection
50051905,LOUD BABY,BROOKLYN,696,FLATBUSH AVE,11225,9174127002,Caf?©/Coffee/Tea,07/11/2017,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,58,,,06/18/2018,Pre-permit (Non-operational) / Initial Inspection
41600011,CAFE ON 5TH/STERLING AFFAIR,MANHATTAN,1216,5 AVENUE,10029,2128227229,American,12/04/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,15,,,06/18/2018,Cycle Inspection / Initial Inspection
41628459,KFC,QUEENS,15212,ROCKWAY BOULEVARD,11434,7185259603,Chicken,03/12/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41?º F (smoked fish and reduced oxygen packaged foods above 38 ?ºF) except during necessary preparation.,Critical,12,A,03/12/2018,06/18/2018,Cycle Inspection / Initial Inspection
40865583,T.G.I. FRIDAY'S,MANHATTAN,2,PENN PLAZA,10121,2126300348,American,06/02/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,A,06/02/2015,06/18/2018,Cycle Inspection / Re-inspection
41451560,GUAN DONG YI JIA,QUEENS,4609,KISSENA BOULEVARD,11355,9172852052,Chinese,10/21/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140?º F.,Critical,46,,,06/18/2018,Cycle Inspection / Initial Inspection
40716177,PIZZA HUT,QUEENS,25311,HILLSIDE AVENUE,11426,7183431118,Pizza,04/20/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,04/20/2016,06/18/2018,Cycle Inspection / Initial Inspection
50005643,NEW BOE LEE,BRONX,741,LYDIG AVE,10462,7188222888,Chinese,10/31/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,28,,,06/18/2018,Cycle Inspection / Initial Inspection
41639505,GIO'S PIZZA & RESTAURANT,BRONX,308,E 141ST ST,10454,7189931952,Pizza,01/11/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A,01/11/2018,06/18/2018,Cycle Inspection / Initial Inspection
50004556,GRAN FAMILIA MEXICANA RESTAURANT,BROOKLYN,117,AVENUE U,11223,3475873093,Mexican,02/03/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,21,,,06/18/2018,Cycle Inspection / Initial Inspection
50039396,SUGAR FACTORY MEATPACKING,MANHATTAN,835,WASHINGTON ST,10014,2124148700,American,04/04/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41?º F (smoked fish and reduced oxygen packaged foods above 38 ?ºF) except during necessary preparation.,Critical,10,A,04/04/2016,06/18/2018,Cycle Inspection / Re-inspection
41491093,HAAGEN-DAZS,MANHATTAN,55,EAST    8 STREET,10003,2127772477,"Ice Cream, Gelato, Yogurt, Ices",05/31/2018,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,32,,,06/18/2018,Cycle Inspection / Initial Inspection
50012543,WENDY'S,BROOKLYN,420,86TH ST,11209,7188333034,American,03/15/2016,Violations were cited in the following area(s).,02C,Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65?º F or above within 2 hours.,Critical,22,,,06/18/2018,Cycle Inspection / Initial Inspection
50036123,RICHIE'S BURGER JOINT,MANHATTAN,2665,BROADWAY,10025,2124101555,Hamburgers,08/29/2017,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,02B,Hot food item not held at or above 140?º F.,Critical,57,,,06/18/2018,Cycle Inspection / Initial Inspection
50070093,GOOD TASTE 666,QUEENS,4345,MAIN ST,11355,7188863332,Chinese,06/13/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,35,,,06/18/2018,Cycle Inspection / Initial Inspection
41459443,T & T RESTAURANT,QUEENS,4611,KISSENA BOULEVARD,11355,7186610819,Chinese,12/02/2014,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,10,A,12/02/2014,06/18/2018,Cycle Inspection / Re-inspection
50040391,RIVER DOCK BAR & GRILL,STATEN ISLAND,1,RICHMOND TER,10301,7182730809,American,06/14/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,22,,,06/18/2018,Cycle Inspection / Initial Inspection
41719106,AUNT JAKES,MANHATTAN,47,WEST    8 STREET,10011,2122539333,American,06/14/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,50,,,06/18/2018,Cycle Inspection / Initial Inspection
41382811,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,BRONX,1381,EAST GUNHILL ROAD,10469,7187981757,Caribbean,06/03/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,14,B,06/03/2015,06/18/2018,Cycle Inspection / Re-inspection
50014104,DELI AND PIZZA,BROOKLYN,603,AVENUE Z,11223,7186487775,American,09/25/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,09/25/2017,06/18/2018,Cycle Inspection / Initial Inspection
40530159,MONA'S,MANHATTAN,224,AVENUE B,10009,2123533780,American,08/24/2017,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,A,08/24/2017,06/18/2018,Cycle Inspection / Initial Inspection
41671229,PANERA BREAD,MANHATTAN,120,EAST   86 STREET,10028,2128287028,American,02/23/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,02/23/2016,06/18/2018,Cycle Inspection / Initial Inspection
50011721,TANG'S GARDEN,MANHATTAN,1328,3RD AVE,10021,2122492102,Chinese,09/16/2015,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,52,,,06/18/2018,Cycle Inspection / Initial Inspection
50070808,DOWNEY'S BAR & GRILL,BRONX,5790,MOSHOLU AVE,10471,7185484939,American,06/04/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,06/04/2018,06/18/2018,Cycle Inspection / Initial Inspection
50049010,FLIK INTERNATIONAL,MANHATTAN,9,W 57TH ST,10019,5163563617,American,12/07/2017,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,9,A,12/07/2017,06/18/2018,Cycle Inspection / Initial Inspection
41335133,MAMA EATERY,MANHATTAN,46,MULBERRY STREET,10013,2126087440,American,03/01/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,03/01/2018,06/18/2018,Cycle Inspection / Initial Inspection
50047023,FOO AN CHINESE RESTAURANT,QUEENS,22318,S CONDUIT AVE,11413,9178596605,Chinese,05/25/2018,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,6,A,05/25/2018,06/18/2018,Cycle Inspection / Initial Inspection
41572685,BROOKLYNS FINEST PIZZA & RESTAURANT,STATEN ISLAND,1250,HYLAN BOULEVARD,10305,7188157070,Pizza/Italian,06/27/2017,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,22,B,06/27/2017,06/18/2018,Cycle Inspection / Re-inspection
50069884,BARZOLA RESTAURANT,QUEENS,9520,ASTORIA BLVD,11369,7184339843,Spanish,05/14/2018,Violations were cited in the following area(s).,03B,"Shellfish not from approved source, improperly tagged/labeled; tags not retained for 90 days.",Critical,36,Not Yet Graded,,06/18/2018,Pre-permit (Operational) / Initial Inspection
50033320,SMASHBURGER,BROOKLYN,528,GATEWAY DR,11239,7182356900,American,08/11/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,08/11/2017,06/18/2018,Cycle Inspection / Initial Inspection
50007859,MEME'S HEALTHY NIBBLES,BROOKLYN,707,NOSTRAND AVE,11216,7184931375,American,10/08/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A,10/08/2016,06/18/2018,Cycle Inspection / Initial Inspection
50004633,EAST BUFFET & RESTAURANT,QUEENS,4207,MAIN ST,11355,7183589830,Chinese,12/24/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41?º F (smoked fish and reduced oxygen packaged foods above 38 ?ºF) except during necessary preparation.,Critical,13,A,12/24/2014,06/18/2018,Cycle Inspection / Re-inspection
50075106,US FRIED CHICKEN,BRONX,860,GERARD AVE,10451,7186652384,Chicken,05/08/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,28,Not Yet Graded,,06/18/2018,Pre-permit (Operational) / Initial Inspection
50056563,JACKSON'S,QUEENS,1037,JACKSON AVE,11101,3476491721,American,05/04/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140?º F.,Critical,12,A,05/04/2018,06/18/2018,Cycle Inspection / Re-inspection
41703389,REGO PARK DELI & PASTRY,QUEENS,9734,63 ROAD,11374,7189970957,Delicatessen,10/08/2015,No violations were recorded at the time of this inspection.,,,Not Applicable,0,,,06/18/2018,Cycle Inspection / Initial Inspection
50018952,NORTHSIDE BAKERY,BROOKLYN,190,NASSAU AVE,11222,7183497775,Polish,07/06/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,07/06/2016,06/18/2018,Cycle Inspection / Initial Inspection
41328863,KROLEWSKIE JADLO,QUEENS,6621,FRESH POND ROAD,11385,7183666226,Polish,04/14/2018,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,10,A,04/14/2018,06/18/2018,Cycle Inspection / Initial Inspection
41348322,YUMMY TACO BROOKLYN,BROOKLYN,3606,CLARENDON ROAD,11203,7182820588,Tex-Mex,02/02/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,8,A,02/02/2016,06/18/2018,Cycle Inspection / Initial Inspection
40690899,THE ICE BOX-RALPH'S FAMOUS ITALIAN ICES,QUEENS,26421,UNION TURNPIKE,11004,7183438724,"Ice Cream, Gelato, Yogurt, Ices",05/05/2015,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,17,,,06/18/2018,Cycle Inspection / Initial Inspection
41529756,CHIQUITA'S RESTAURANT,QUEENS,6059,MYRTLE AVENUE,11385,7183860500,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12/30/2015,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,60,,,06/18/2018,Cycle Inspection / Initial Inspection
50019096,LUK & BART HOMEMADE FOOD,STATEN ISLAND,2960,RICHMOND TER,10303,7187206907,Polish,03/29/2018,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,11,A,03/29/2018,06/18/2018,Cycle Inspection / Initial Inspection
50000923,DI FARA PIZZERIA,BROOKLYN,1424,AVENUE J,11230,7182581367,Pizza,08/13/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,08/13/2015,06/18/2018,Cycle Inspection / Initial Inspection
50071689,AARON SUSHI,QUEENS,2545,STEINWAY ST,11103,3475360190,Chinese/Japanese,02/28/2018,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,20,,,06/18/2018,Cycle Inspection / Initial Inspection
50001007,WHITE CASTLE,BROOKLYN,1615,Boardwalk West,11224,7183735862,American,08/09/2017,Violations were cited in the following area(s).,16C,"Caloric content not posted on menus, menu boards or food tags, in a food service establishment that is 1 of 15 or more outlets operating the same type of business nationally under common ownership or control, or as a franchise or doing business under the same name, for each menu item that is served in portions, the size and content of which are standardized.",Not Critical,,,,06/18/2018,Calorie Posting / Initial Inspection
50058675,DRAGON GARDEN,BRONX,3178,BAINBRIDGE AVE,10467,7186523137,Chinese,01/25/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,01/25/2018,06/18/2018,Cycle Inspection / Re-inspection
40743578,EL RUMBERO BAR RESTAURANT,QUEENS,8205,NORTHERN BOULEVARD,11372,7188033125,Continental,09/26/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,09/26/2016,06/18/2018,Cycle Inspection / Re-inspection
50019079,TASTY CARIBBEAN,BROOKLYN,856,UTICA AVE,11203,7182828652,Caribbean,05/08/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,22,,,06/18/2018,Cycle Inspection / Initial Inspection
40534893,THE GREAT BURRITO MEXICAN KITCHEN,MANHATTAN,405,AMSTERDAM AVENUE,10024,2127245151,Mexican,05/14/2018,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,22,,,06/18/2018,Cycle Inspection / Initial Inspection
41313114,NEW YORK INSTITUTE OF TECHNOLOGY,MANHATTAN,1849,BROADWAY,10023,6462736082,American,12/20/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41?º F (smoked fish and reduced oxygen packaged foods above 38 ?ºF) except during necessary preparation.,Critical,40,,,06/18/2018,Cycle Inspection / Initial Inspection
40535467,CHIU HONG BAKERY,MANHATTAN,161,MOTT STREET,10013,2129667664,Bakery,04/25/2017,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,,,06/18/2018,Cycle Inspection / Initial Inspection
40391594,TAKAHACHI RESTAURANT,MANHATTAN,85,AVENUE A,10009,2125056524,Japanese,02/07/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,02/07/2018,06/18/2018,Cycle Inspection / Initial Inspection
50034516,THE TUSCAN GUN,BROOKLYN,199,WINDSOR PL,11215,3479873166,Caf?©/Coffee/Tea,08/03/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,08/03/2017,06/18/2018,Cycle Inspection / Initial Inspection
41020311,SHARAN DELI,MANHATTAN,314,WEST   39 STREET,10018,2126957170,Delicatessen,04/03/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41?º F (smoked fish and reduced oxygen packaged foods above 38 ?ºF) except during necessary preparation.,Critical,21,B,04/03/2018,06/18/2018,Cycle Inspection / Re-inspection
50040685,SHANG SHANG QIAN,QUEENS,3634,UNION ST,11354,7189020527,Chinese,09/30/2015,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,36,,,06/18/2018,Pre-permit (Non-operational) / Initial Inspection
41505368,KING FOOD,MANHATTAN,489,AMSTERDAM AVENUE,10024,2127998467,Chinese,07/07/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41?º F (smoked fish and reduced oxygen packaged foods above 38 ?ºF) except during necessary preparation.,Critical,17,B,07/07/2015,06/18/2018,Cycle Inspection / Re-inspection
41499169,THE LAMBS CLUB,MANHATTAN,130,WEST   44 STREET,10036,2129975262,American,04/18/2017,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,13,A,04/18/2017,06/18/2018,Cycle Inspection / Re-inspection
50067074,BAZAR,MANHATTAN,31,W 26TH ST,10010,2125108155,Tapas,09/06/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,36,,,06/18/2018,Pre-permit (Operational) / Initial Inspection
50063170,MADE NICE,MANHATTAN,8,W 28TH ST,10001,2128811677,American,09/14/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140?º F.,Critical,39,,,06/18/2018,Pre-permit (Operational) / Initial Inspection
